identity,generation_method,source_identity,blend_alpha,output_path,embedding_ok,arcface_similarity,rank1_match,case_label,saliency_path,saliency_cosine_sim,saliency_l1,reg_forehead,reg_eyes,reg_nose,reg_mouth,reg_jaw_chin
Queen_Latifah,insightface_swap,Kenneth_Evans,,data/synthetic_probes/insightface_swap/Queen_Latifah/Queen_Latifah_swap_0.jpg,True,0.113368,False,C,results/crise_maps/crise_tau0p1_Queen_Latifah_Queen_Latifah_swap_0_N1000_s8_p0.5_seed420000_saliency_norm.npy,0.8583440780639648,0.17285297811031342,0.23077066471720414,0.23541721390736334,0.05561548919667156,0.07279004279739364,0.11611815493166629
Queen_Latifah,insightface_swap,Ruth_Dreifuss,,data/synthetic_probes/insightface_swap/Queen_Latifah/Queen_Latifah_swap_1.jpg,True,0.027482,False,C,results/crise_maps/crise_tau0p1_Queen_Latifah_Queen_Latifah_swap_1_N1000_s8_p0.5_seed420001_saliency_norm.npy,0.8065152168273926,0.3176325857639313,0.25562627396282356,0.15288680564266707,0.02845863729487485,0.0727149977113321,0.08528160860816038
Queen_Latifah,insightface_swap,Mikhail_Wehbe,,data/synthetic_probes/insightface_swap/Queen_Latifah/Queen_Latifah_swap_2.jpg,True,0.078241,False,C,results/crise_maps/crise_tau0p1_Queen_Latifah_Queen_Latifah_swap_2_N1000_s8_p0.5_seed420002_saliency_norm.npy,0.8069396018981934,0.27673420310020447,0.30326670293680197,0.18119245741603304,0.02755741373158138,0.05261804566792457,0.06773764086340722
Carlos_Moya,insightface_swap,Reggie_Miller,,data/synthetic_probes/insightface_swap/Carlos_Moya/Carlos_Moya_swap_0.jpg,True,0.124778,False,C,results/crise_maps/crise_tau0p1_Carlos_Moya_Carlos_Moya_swap_0_N1000_s8_p0.5_seed420003_saliency_norm.npy,0.8238282203674316,0.2764112651348114,0.27439250842735413,0.16997064413573115,0.020402728578038022,0.08208735241661566,0.09709966566463175
Carlos_Moya,insightface_swap,Charles_Grassley,,data/synthetic_probes/insightface_swap/Carlos_Moya/Carlos_Moya_swap_1.jpg,True,0.0565,False,C,results/crise_maps/crise_tau0p1_Carlos_Moya_Carlos_Moya_swap_1_N1000_s8_p0.5_seed420004_saliency_norm.npy,0.829058825969696,0.2653791606426239,0.294843605580957,0.1590652973708914,0.037980564245539555,0.053919241503508145,0.09585037003794686
Carlos_Moya,insightface_swap,Carrie-Anne_Moss,,data/synthetic_probes/insightface_swap/Carlos_Moya/Carlos_Moya_swap_2.jpg,True,0.033977,False,C,results/crise_maps/crise_tau0p1_Carlos_Moya_Carlos_Moya_swap_2_N1000_s8_p0.5_seed420005_saliency_norm.npy,0.8280813694000244,0.25122934579849243,0.3030587724959565,0.1518514206838575,0.041965839520927764,0.05205574625728827,0.06315621299197001
Alexandra_Vodjanikova,insightface_swap,Will_Smith,,data/synthetic_probes/insightface_swap/Alexandra_Vodjanikova/Alexandra_Vodjanikova_swap_0.jpg,True,0.010025,False,C,results/crise_maps/crise_tau0p1_Alexandra_Vodjanikova_Alexandra_Vodjanikova_swap_0_N1000_s8_p0.5_seed420006_saliency_norm.npy,0.8068950176239014,0.28727278113365173,0.2720445366277366,0.14507190253685803,0.040673996394995346,0.061009479247013644,0.06853165869653312
Alexandra_Vodjanikova,insightface_swap,Rick_Dinse,,data/synthetic_probes/insightface_swap/Alexandra_Vodjanikova/Alexandra_Vodjanikova_swap_1.jpg,True,0.064411,False,C,results/crise_maps/crise_tau0p1_Alexandra_Vodjanikova_Alexandra_Vodjanikova_swap_1_N1000_s8_p0.5_seed420007_saliency_norm.npy,0.8961613774299622,0.20133940875530243,0.25816031625840324,0.18482937882206427,0.05110111966544565,0.05652907555531639,0.0937220227776774
Alexandra_Vodjanikova,insightface_swap,Ed_Rosenthal,,data/synthetic_probes/insightface_swap/Alexandra_Vodjanikova/Alexandra_Vodjanikova_swap_2.jpg,True,0.055209,False,C,results/crise_maps/crise_tau0p1_Alexandra_Vodjanikova_Alexandra_Vodjanikova_swap_2_N1000_s8_p0.5_seed420008_saliency_norm.npy,0.8454601764678955,0.3344533443450928,0.30034983207352356,0.14205696900676332,0.02416954103433528,0.0639149548449984,0.07941437739743445
Steven_Seagal,insightface_swap,Robinson_Stevenin,,data/synthetic_probes/insightface_swap/Steven_Seagal/Steven_Seagal_swap_0.jpg,True,-0.089469,False,C,results/crise_maps/crise_tau0p1_Steven_Seagal_Steven_Seagal_swap_0_N1000_s8_p0.5_seed420009_saliency_norm.npy,0.7718297839164734,0.25603845715522766,0.2673790899404891,0.16829953820683174,0.0281356152304141,0.0352803089848439,0.09777974783688903
